,uuid,frameVersion,setCode,isOnlineOnly,isTextless,keywords,name,text,type,rules
131,89c917d0-cf57-5429-961c-69e3b349e380,2015,OTC,False,False,,Turntimber Sower,"Whenever one or more land cards are put into your graveyard from anywhere, create a 0/1 green Plant creature token.
{G}, Sacrifice three creatures: Return target land card from your graveyard to your hand.",Creature — Elf Druid,"If multiple land cards are put into your graveyard at once, Turntimber Sower's first ability triggers only once. This could happen because an effect put them there from your library at once, or because they were destroyed at the same time (such as two land creatures that were dealt lethal combat damage), for example."
134,004fc38e-8413-58f7-bb94-4783b3228a3f,2015,ONC,False,False,Proliferate,Contagion Clasp,"When this artifact enters, put a -1/-1 counter on target creature.
{4}, {T}: Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",Artifact,"An ability that triggers ""Whenever you proliferate"" triggers even if you chose no permanents or players while doing so.To proliferate, you can choose any permanent that has a counter, including ones controlled by opponents. You can choose any player who has a counter, including opponents. You can't choose cards in any zone other than the battlefield, even if they have counters on them.You don't have to choose every permanent or player that has a counter, only the ones you want to add another counter to. Since ""any number"" includes zero, you don't have to choose any permanents at all, and you don't have to choose any players at all.If a player or permanent has more than one kind of counter on it, and you choose for it to get additional counters, it must get one of each kind of counter it already has. You can't have it get just one kind of counter it already has and not the others.Players can respond to a spell or ability whose effect includes proliferating. Once that spell or ability starts to resolve, however, and its controller chooses which permanents and players will get new counters, it's too late for anyone to respond.If a permanent ever has both +1/+1 counters and -1/-1 counters on it at the same time, they're removed in pairs as a state-based action so that the permanent has only one of those kinds of counters on it.Contagion Clasp's first ability is mandatory. If you're the only player who controls a creature, you must target one of them."
141,96af75ea-d5cd-5c15-a766-e53b6e1bacd5,2015,LTC,False,False,,Bastion Protector,Commander creatures you control get +2/+2 and have indestructible.,Creature — Human Soldier,"Bastion Protector's ability doesn't apply to commanders that aren't currently creatures.Bastion Protector's ability applies to any commander creature you control, whether you own it or not.A ""commander creature"" is a permanent that's both someone's commander and a creature."
142,0b4754a2-91e4-5b77-8565-12121cfb94bf,2015,CMM,False,False,,Descendants' Fury,"Whenever one or more creatures you control deal combat damage to a player, you may sacrifice one of them. If you do, reveal cards from the top of your library until you reveal a creature card that shares a creature type with the sacrificed creature. Put that card onto the battlefield and the rest on the bottom of your library in a random order.",Enchantment,"If you don't reveal a creature card that shares a creature type with the creature you sacrificed, you'll just reveal and randomize your library.Compare the revealed cards to the creature as it last existed before it was sacrificed, not to the creature card as it exists in its owner's graveyard, to determine which card from your library you put onto the battlefield.If the sacrificed creature has no creature type, no card can share a creature type with it.You'll reveal cards until you find one that shares at least one creature type with the creature you sacrificed. For example, if you sacrificed a Cat Wizard, you'll stop if you reveal a Human Wizard or Cat Soldier."
154,e2495ad6-7c71-51fe-b97d-492aee5e112b,2015,PWOE,False,False,Flying,Talion's Messenger,"Flying
Whenever you attack with one or more Faeries, draw a card, then discard a card. When you discard a card this way, put a +1/+1 counter on target Faerie you control.",Creature — Faerie Noble,"You don't choose a target for Talion's Messenger's ability at the time it triggers. Rather, a second ""reflexive"" ability triggers when you discard a card this way. You choose a target for that ability as it goes on the stack. Each player may respond to this triggered ability as normal."
163,46891ce1-49a0-5912-8648-069f15274657,2015,PMKM,False,False,"Flying, Investigate, Vigilance",Wojek Investigator,"Flying, vigilance
At the beginning of your upkeep, investigate once for each opponent who has more cards in hand than you. (To investigate, create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",Creature — Angel Detective,"Clue is an artifact type. Even though it appears on some cards with other permanent types, it's never a creature type, a land type, or anything but an artifact type.You can't sacrifice a Clue to pay multiple costs. For example, you can't sacrifice a Clue token to activate its own ability and also to activate Alquist Proft, Master Sleuth's ability.Some spells and abilities that investigate may require targets. If each target chosen is an illegal target as that spell or ability tries to resolve, it won't resolve. You won't create any Clue tokens.If an effect refers to a Clue, it means any Clue artifact, not just a Clue artifact token. For example, you can sacrifice Wrench to pay for Alquist Proft, Master Sleuth's activated ability.Some abilities trigger ""whenever you sacrifice a Clue"". Those abilities trigger whenever you sacrifice a Clue for any reason, not just to activate a Clue's activated ability."
175,80b200d6-de82-525b-96b0-777672f49373,2015,POTJ,False,False,Menace,"Breeches, the Blastmaker","Menace
Whenever you cast your second spell each turn, you may sacrifice an artifact. If you do, flip a coin. When you win the flip, copy that spell. You may choose new targets for the copy. When you lose the flip, Breeches deals damage equal to that spell's mana value to any target.",Legendary Creature — Goblin Pirate,"Breeches's triggered ability triggers without requiring a target. It sets up two delayed triggered abilities: one that triggers when you win the flip, and one that triggers when you lose the flip. Only one of these abilities will trigger, based on the result of the flip. If you lost the flip, you'll choose a target for that delayed triggered ability at that time. Players can respond to the delayed triggered ability knowing its target and how much damage will be dealt, as normal.The copy made by Breeches's delayed triggered ability is created on the stack, so it's not ""cast.""If you win the flip, the copy created by Breeches's delayed triggered ability will have the same targets as the spell it's copying unless you choose new ones. You may change any number of the targets, including all of them or none of them. The new targets must be legal.If you don't sacrifice an artifact, you won't flip a coin, and neither delayed triggered ability will trigger.Spells that were cast before Breeches entered the battlefield count. If Breeches was the first spell you cast this turn, the next spell you cast this turn is your second spell."
177,d6c6466c-0e85-5583-9349-9e3dd8c5464d,2015,PWOE,False,False,Menace,"Rowan, Scion of War","Menace
{T}: Spells you cast this turn that are black and/or red cost {X} less to cast, where X is the amount of life you lost this turn. Activate only as a sorcery.",Legendary Creature — Human Wizard,"Rowan's activated ability counts the total amount of life you lost without taking into account any life you gained during that turn. For example, if you gained 3 life and lost 3 life earlier in the turn, the cost of black and/or red spells you cast this turn will be reduced by {3}.Rowan's activated ability doesn't change the mana cost or mana value of any spell. It changes only the total cost you pay.Rowan's activated ability can't reduce the amount of colored mana you pay for a spell. It reduces only the generic mana component of that cost.The value of X is determined only once, at the time Rowan, Scion of War's activated ability resolves."
186,7c8e0d52-0094-52c1-b92d-08342bf099bb,2015,MOM,False,False,"Transform, First strike, Treasure",Urabrask // The Great Work,"First strike
Whenever you cast an instant or sorcery spell, Urabrask deals 1 damage to target opponent. Add {R}.
{R}: Exile Urabrask, then return it to the battlefield transformed under its owner's control. Activate only as a sorcery and only if you've cast three or more instant and/or sorcery spells this turn.",Legendary Creature — Phyrexian Praetor,"If multiple players are allowed to cast the same card, the player with priority at any given time determines who can cast it. The player whose turn it is has priority as each step and phase begins, and they receive priority after each spell and ability resolves. This means immediately after chapter III resolves you’ll have priority to cast spells before any other player does.Urabrask will count any instant or sorcery spells you’ve cast during the turn, whether those spells resolved, didn’t resolve, were countered, or left the stack some other way. Urabrask won’t count copies of instant and sorcery spells that were created on the stack and not cast.After chapter III of The Great Work resolves, casting spells from graveyards follows the normal rules for casting those cards. You must pay their costs, and you must follow all applicable timing rules. For example, to cast a sorcery spell from a graveyard, you can do so by paying its mana cost only during your main phase while the stack is empty.Urabrask’s second ability isn’t a mana ability, even though it causes you to add mana. It uses the stack and can be responded to."
192,6d90869c-4c2e-5c07-b7f1-67df42f5f6a9,2015,WHO,False,False,"Investigate, Woman Who Walked the Earth, Doctor's companion",Martha Jones,"Woman Who Walked the Earth — When Martha Jones enters, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
Whenever you sacrifice a Clue, Martha Jones and up to one other target creature can't be blocked this turn.
Doctor's companion (You can have two commanders if the other is the Doctor.)",Legendary Creature — Human Cleric,"If your Commander deck has two commanders, you can include only cards whose own color identities are also found in your commanders' combined color identities.The Doctor's companion ability allows you to have two commanders if one has the ability and the other is a legendary creature that is a Time Lord Doctor and has no other creature types. Creatures with the changeling ability, for example, can't be a second commander this way.Although Doctor's companion is a new variant of the partner ability, the rules for partner have not otherwise changed. Notably, Time Lord Doctors and cards with Doctor's companion do not interact with cards which have another partner ability.Once the game begins, your two commanders are tracked separately. If you cast one, you won't have to pay an additional {2} the first time you cast the other. A player loses the game after having been dealt 21 combat damage from any one of them, not from both of them combined."
193,bfe95642-3aeb-557f-be5a-3ecce4176d34,2015,WHO,False,False,Doctor's companion,Bill Potts,"Whenever you cast an instant or sorcery spell that targets only Bill Potts or activate an ability that targets only Bill Potts, copy that spell or ability. You may choose new targets for the copy. This ability triggers only once each turn.
Doctor's companion (You can have two commanders if the other is the Doctor.)",Legendary Creature — Human,"The copy made by Bill's triggered ability is created on the stack, so it's not ""cast"" or ""activated.""If the spell or ability that's copied has an X whose value was determined as it was cast, the copy will have the same value of X.If the spell or ability that's copied is modal (that is, it says ""Choose one —"" or the like), the copy will have the same mode or modes. You can't choose different ones.The first ability of Bill Potts will trigger as long as it is the only target of that spell or ability, even if that spell or ability could target multiple permanents.The copy will have the same targets as the spell or ability it's copying unless you choose new ones. You may change any number of the targets, including all of them or none of them. The new targets must be legal."
194,44d639ca-0422-5578-87e5-ae8304bd4055,2015,WOE,False,False,,Scalding Viper // Steam Clean,Return target nonland permanent to its owner's hand. (Then exile this card. You may cast the creature later from exile.),Sorcery — Adventure,"If you cast an adventurer card as an Adventure, use only its alternative characteristics to determine whether it's legal to cast that spell. For example, if you control Johann, Apprentice Sorcerer (""Once each turn, you may cast an instant or sorcery spell from the top of your library."") and Questing Druid is on top of your library, you can cast Seek the Beast, but not Questing Druid.If an effect instructs you to choose a card name, you may choose the alternative Adventure name. Consider only the alternative characteristics to determine whether that is an appropriate name to choose.If a spell is cast as an Adventure, its controller exiles it instead of putting it into its owner's graveyard as it resolves. For as long as it remains exiled, that player may cast it as a permanent spell. If an Adventure spell leaves the stack in any way other than resolving (most likely by being countered or by failing to resolve because its targets have all become illegal), that card won't be exiled and the spell's controller won't be able to cast it as a permanent later.If an adventurer card ends up in exile for any other reason than by exiling itself while resolving, it won't give you permission to cast it as a permanent spell.If a spell has {X} in its mana cost, use the value chosen for X to determine the mana value of that spell.If an effect refers to a card, spell, or permanent that has an Adventure, it won't find an instant or sorcery spell on the stack that's been cast as an Adventure.An effect may refer to a card, spell, or permanent that ""has an Adventure."" This refers to a card, spell, or permanent that has an adventurer card's set of alternative characteristics, even if they're not being used and even if that card was never cast as an Adventure.You must still follow any timing restrictions and permissions for the permanent spell you cast from exile. Normally, you'll be able to cast it only during your main phase while the stack is empty.Casting a card as an Adventure isn't casting it for an alternative cost. Effects that allow you to cast a spell for an alternative cost or without paying its mana cost may allow you to apply those to the Adventure.An adventurer card is a permanent card in every zone except the stack, as well as while on the stack if not cast as an Adventure. Ignore its alternative characteristics in those cases. For example, while it's in your graveyard, Questing Druid is a green creature card whose mana value is 2. It can't be the target of Tenacious Tomeseeker's triggered ability (""return target instant or sorcery card from your graveyard to your hand"").If an effect copies an Adventure spell, that copy is exiled as it resolves. It ceases to exist as a state-based action; it's not possible to cast the copy as a permanent."
195,5cf3c5ed-7a69-52a8-8426-62c3f235a12f,2015,LCI,False,False,,"Saheeli, the Sun's Brilliance","{U}{R}, {T}: Create a token that's a copy of another target creature or artifact you control, except it's an artifact in addition to its other types. It gains haste. Sacrifice it at the beginning of the next end step.",Legendary Creature — Human Artificer,"Any enters-the-battlefield abilities of the copied permanent will trigger when the token enters the battlefield. Any ""as [this permanent] enters the battlefield"" or ""[this permanent] enters the battlefield with"" abilities of the target permanent will also work.If the copied permanent is a token, the new token that's created copies the original characteristics of that token as stated by the effect that created the token (with the listed exceptions).If the copied permanent is copying something else, then the token enters the battlefield as whatever that permanent copied (with the listed exceptions).The token copies exactly what was printed on the original permanent, with the listed exceptions (unless that permanent is copying something else or is a token; see below). It doesn't copy whether that permanent is tapped or untapped, whether it has any counters on it or any Auras or Equipment attached to it, or any non-copy effects that have changed its types, color, power and toughness, and so on."
202,f16d72c7-bf4d-5f28-bdf7-3bfc2daa4985,2015,PIP,False,False,Flash,Mysterious Stranger,"Flash
When this creature enters, for each graveyard with an instant or sorcery card in it, exile target instant or sorcery card from that graveyard. If two or more cards are exiled this way, choose one of them at random and copy it. You may cast the copy without paying its mana cost.",Creature — Human Rogue,"You cast the copy while Mysterious Stranger’s last ability is resolving and still on the stack. You can’t wait to cast it later in the turn.If a spell has {X} in its mana cost, you must choose 0 as the value of X when casting it without paying its mana cost.If you don’t want to cast the copy, you can choose not to; the copy ceases to exist the next time state-based actions are checked.If you cast a spell “without paying its mana cost,” you can’t choose to cast it for any alternative costs. You can, however, pay additional costs. If the spell has any mandatory additional costs, those must be paid to cast the card."
204,8f4249d6-60cb-59a5-88f6-69f90633a757,2015,PONE,False,False,,Mirran Safehouse,"As long as this artifact is on the battlefield, it has all activated abilities of all land cards in all graveyards.",Artifact,"Mirran Safehouse gains only activated abilities, including activated mana abilites. It doesn't gain keyword abilities (unless those keyword abilities are activated), triggered abilities, or static abilities.Activated abilities contain a colon. They're generally written ""[Cost]: [Effect]."" Some keywords are activated abilities; they have colons in their reminder text.If an activated ability of a land card in a graveyard references the card it's printed on by name, treat Mirran Safehouse's version of that ability as though it referenced Mirran Safehouse by name instead.Cards with basic land types intrinsically have the appropriate mana ability, even if it isn't printed in the card's text box. Mirran Safehouse also gains those abilities. For example, if there is a Plains in your graveyard, Mirran Safehouse has ""{T}: Add {W},"" even though that may not be printed on the Plains itself."
205,2a04f7fd-c320-5153-b3f6-93f93034b923,2015,PIP,False,False,Investigate,"Piper Wright, Publick Reporter","Whenever Piper Wright deals combat damage to a player, investigate that many times. (To investigate, create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
Whenever you sacrifice a Clue, put a +1/+1 counter on target creature you control.",Legendary Creature — Human Detective,"If an effect refers to a Clue, it means any Clue artifact, not just a Clue artifact token. For example, if you sacrifice a nontoken Clue artifact, such as Candy Trail from the Wilds of Eldraine set, Piper Wright's last ability will trigger.Piper Wright's last ability triggers whenever you sacrifice a Clue for any reason, not just to activate a Clue's activated ability."
221,cd652568-6481-527f-b7ad-c51238b6f90a,2015,WHO,False,False,Mill,The Cyber-Controller,"When The Cyber-Controller enters, each opponent mills X cards. Put all creature cards milled this way onto the battlefield face down under your control. They're 2/2 Cyberman artifact creatures.
Other artifact creatures you control get +1/+1.",Legendary Artifact Creature — Cyberman,"Double-faced permanents that are already on the battlefield can't be turned face down this way. However, a double-faced card can be put onto the battlefield face down from another zone this way.If, for any reason, the face-down creature is turned face up, the effect making it a Cyberman ends. It will be whatever is printed on the card.The player who controls a face-down permanent may look at it at any time. Notably, if the cards were put on the battlefield face down from another player's library, the player that owns them does not get to look at those cards.If the face-down card has a morph ability, its controller may turn it face up by paying the associated morph cost.Each creature turned face down this way or put onto the battlefield this way is a 2/2 Cyberman artifact creature with no name and no color."
230,99085d59-f02b-572b-8a12-326da02c51a6,2015,WHO,False,False,"Partner with, Food, Partner",Madame Vastra,"Partner with Jenny Flint (When this creature enters, target player may put Jenny Flint into their hand from their library, then shuffle.)
Madame Vastra must be blocked if able.
Whenever a creature dealt damage by Madame Vastra this turn dies, create a Clue token and a Food token.",Legendary Creature — Lizard Detective,"Whatever you do, don't eat the delicious cards.You can't sacrifice a Food to pay multiple costs. For example, you can't sacrifice a Food token to activate its own ability and also to activate Maraleaf Rider's ability.Food is an artifact type. Even though it appears on some creatures, it's never a creature type.Note that the target player searches their library (which may be affected by effects such as that of Stranglehold) and that the card they find is revealed, even though these words aren't included in the ability's reminder text.If Madame Vastra is blocking or being blocked by another creature and both of those creatures are dealt lethal combat damage at the same time, they each die at the same time and the last ability will trigger.""Partner with [name]"" represents two abilities. The first is a triggered ability: ""When this permanent enters the battlefield, target player may search their library for a card named [name], reveal it, put it into their hand, then shuffle.""The second ability represented by the ""partner with [name]"" keyword modifies the rules for deck construction in the Commander variant and has no function outside of that variant. If a legendary creature card with ""partner with [name]"" is designated as your commander, the named legendary creature card can also be designated as your commander."
239,328474d6-a636-5809-b1a9-b50d89795a7d,2015,LCI,False,False,Flying,"Vito, Fanatic of Aclazotz","Flying
Whenever you sacrifice another permanent, you gain 2 life if this is the first time this ability has resolved this turn. If it's the second time, each opponent loses 2 life. If it's the third time, create a 4/3 white and black Vampire Demon creature token with flying.",Legendary Creature — Vampire Demon,"Vito's triggered ability has no effect each time beyond the third it resolves in a turn.If you sacrifice Vito at the same time you sacrifice other permanents, Vito's ability will trigger for each of those other permanents."
243,6dca74fb-3abd-515e-8c6b-885745d1f403,2015,PIP,False,False,,Black Market,"Whenever a creature dies, put a charge counter on this enchantment.
At the beginning of your first main phase, add {B} for each charge counter on this enchantment.",Enchantment,Getting the mana is not optional.
253,6f30b8b7-1ea7-5ab9-be83-0ca7c20fd6e7,2015,WOE,False,False,,Minecart Daredevil // Ride the Rails,Target creature gets +2/+1 until end of turn. (Then exile this card. You may cast the creature later from exile.),Instant — Adventure,"If an effect refers to a card, spell, or permanent that has an Adventure, it won’t find an instant or sorcery spell on the stack that’s been cast as an Adventure.If an effect copies an Adventure spell, that copy is exiled as it resolves. It ceases to exist as a state-based action; it’s not possible to cast the copy as a permanent.You must still follow any timing restrictions and permissions for the permanent spell you cast from exile. Normally, you’ll be able to cast it only during your main phase while the stack is empty.An adventurer card is a permanent card in every zone except the stack, as well as while on the stack if not cast as an Adventure. Ignore its alternative characteristics in those cases. For example, while it’s in your graveyard, Questing Druid is a green creature card whose mana value is 2. It can’t be the target of Tenacious Tomeseeker’s triggered ability (“return target instant or sorcery card from your graveyard to your hand”).If you cast an adventurer card as an Adventure, use only its alternative characteristics to determine whether it’s legal to cast that spell. For example, if you control Johann, Apprentice Sorcerer (“Once each turn, you may cast an instant or sorcery spell from the top of your library.”) and Questing Druid is on top of your library, you can cast Seek the Beast, but not Questing Druid."
264,d9c396f8-c423-54d6-87d8-cff54b358593,2015,LCI,False,False,Flash,Tishana's Tidebinder,"Flash
When this creature enters, counter up to one target activated or triggered ability. If an ability of an artifact, creature, or planeswalker is countered this way, that permanent loses all abilities for as long as this creature remains on the battlefield. (Mana abilities can't be targeted.)",Creature — Merfolk Wizard,"If the affected permanent gains an ability after Tishana's Tidebinder's effect begins to apply to it, it will keep that ability.Tishana's Tidebinder's triggered ability checks to see if the source of the ability is an artifact, creature, or planeswalker as it resolves. If it isn't, it won't lose all abilities, even if it was an artifact, creature, or planeswalker when the ability was activated or when it triggered.If Tishana's Tidebinder leaves the battlefield before its triggered ability resolves, the target activated or triggered ability will still be countered, but the source of the ability won't lose its abilities at all."
276,6dd41c86-ed05-5171-b27c-92e075a17532,2015,WHO,False,False,Rebound,Quantum Misalignment,"Create a token that's a copy of target creature you control, except it isn't legendary.
Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)",Sorcery,"Any enters-the-battlefield abilities of the copied creature will trigger when the token enters the battlefield. Any ""as [this creature] enters the battlefield"" or ""[this creature] enters the battlefield with"" abilities of the chosen creature will also work.If the copied creature is copying something else (for example, if the copied creature is an Evil Twin), then the token enters the battlefield as whatever that creature copied.If the copied creature has {X} in its mana cost, X is considered to be 0.If the copied creature is a token, the token that's created copies the original characteristics of that token as stated by the effect that created the token.The token copies exactly what was printed on the original creature and nothing else (unless that creature is copying something else or is a token; see below). It doesn't copy whether that creature is tapped or untapped, whether it has any counters on it or Auras and Equipment attached to it, or any non-copy effects that have changed its power, toughness, types, color, or so on."
