,uuid,frameVersion,setCode,isOnlineOnly,isTextless,keywords,name,text,type,rules,leaked_names,has_leakage
122,e2495ad6-7c71-51fe-b97d-492aee5e112b,2015,PWOE,False,False,Flying,Talion's Messenger,"Flying
Whenever you attack with one or more Faeries, draw a card, then discard a card. When you discard a card this way, put a +1/+1 counter on target Faerie you control.",Creature — Faerie Noble,"You don't choose a target for Talion's Messenger's ability at the time it triggers. Rather, a second ""reflexive"" ability triggers when you discard a card this way. You choose a target for that ability as it goes on the stack. Each player may respond to this triggered ability as normal.",[],False
130,46891ce1-49a0-5912-8648-069f15274657,2015,PMKM,False,False,"Flying, Investigate, Vigilance",Wojek Investigator,"Flying, vigilance
At the beginning of your upkeep, investigate once for each opponent who has more cards in hand than you. (To investigate, create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",Creature — Angel Detective,"Clue is an artifact type. Even though it appears on some cards with other permanent types, it's never a creature type, a land type, or anything but an artifact type.You can't sacrifice a Clue to pay multiple costs. For example, you can't sacrifice a Clue token to activate its own ability and also to activate Alquist Proft, Master Sleuth's ability.Some spells and abilities that investigate may require targets. If each target chosen is an illegal target as that spell or ability tries to resolve, it won't resolve. You won't create any Clue tokens.If an effect refers to a Clue, it means any Clue artifact, not just a Clue artifact token. For example, you can sacrifice Wrench to pay for Alquist Proft, Master Sleuth's activated ability.Some abilities trigger ""whenever you sacrifice a Clue"". Those abilities trigger whenever you sacrifice a Clue for any reason, not just to activate a Clue's activated ability.",[],False
149,7c8e0d52-0094-52c1-b92d-08342bf099bb,2015,MOM,False,False,"Transform, First strike, Treasure",Urabrask // The Great Work,"First strike
Whenever you cast an instant or sorcery spell, Urabrask deals 1 damage to target opponent. Add {R}.
{R}: Exile Urabrask, then return it to the battlefield transformed under its owner's control. Activate only as a sorcery and only if you've cast three or more instant and/or sorcery spells this turn.",Legendary Creature — Phyrexian Praetor,"If multiple players are allowed to cast the same card, the player with priority at any given time determines who can cast it. The player whose turn it is has priority as each step and phase begins, and they receive priority after each spell and ability resolves. This means immediately after chapter III resolves you’ll have priority to cast spells before any other player does.Urabrask will count any instant or sorcery spells you’ve cast during the turn, whether those spells resolved, didn’t resolve, were countered, or left the stack some other way. Urabrask won’t count copies of instant and sorcery spells that were created on the stack and not cast.After chapter III of The Great Work resolves, casting spells from graveyards follows the normal rules for casting those cards. You must pay their costs, and you must follow all applicable timing rules. For example, to cast a sorcery spell from a graveyard, you can do so by paying its mana cost only during your main phase while the stack is empty.Urabrask’s second ability isn’t a mana ability, even though it causes you to add mana. It uses the stack and can be responded to.",[],False
154,6d90869c-4c2e-5c07-b7f1-67df42f5f6a9,2015,WHO,False,False,"Investigate, Woman Who Walked the Earth, Doctor's companion",Martha Jones,"Woman Who Walked the Earth — When Martha Jones enters, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
Whenever you sacrifice a Clue, Martha Jones and up to one other target creature can't be blocked this turn.
Doctor's companion (You can have two commanders if the other is the Doctor.)",Legendary Creature — Human Cleric,"If your Commander deck has two commanders, you can include only cards whose own color identities are also found in your commanders' combined color identities.The Doctor's companion ability allows you to have two commanders if one has the ability and the other is a legendary creature that is a Time Lord Doctor and has no other creature types. Creatures with the changeling ability, for example, can't be a second commander this way.Although Doctor's companion is a new variant of the partner ability, the rules for partner have not otherwise changed. Notably, Time Lord Doctors and cards with Doctor's companion do not interact with cards which have another partner ability.Once the game begins, your two commanders are tracked separately. If you cast one, you won't have to pay an additional {2} the first time you cast the other. A player loses the game after having been dealt 21 combat damage from any one of them, not from both of them combined.",[],False
155,5cf3c5ed-7a69-52a8-8426-62c3f235a12f,2015,LCI,False,False,,"Saheeli, the Sun's Brilliance","{U}{R}, {T}: Create a token that's a copy of another target creature or artifact you control, except it's an artifact in addition to its other types. It gains haste. Sacrifice it at the beginning of the next end step.",Legendary Creature — Human Artificer,"Any enters-the-battlefield abilities of the copied permanent will trigger when the token enters the battlefield. Any ""as [this permanent] enters the battlefield"" or ""[this permanent] enters the battlefield with"" abilities of the target permanent will also work.If the copied permanent is a token, the new token that's created copies the original characteristics of that token as stated by the effect that created the token (with the listed exceptions).If the copied permanent is copying something else, then the token enters the battlefield as whatever that permanent copied (with the listed exceptions).The token copies exactly what was printed on the original permanent, with the listed exceptions (unless that permanent is copying something else or is a token; see below). It doesn't copy whether that permanent is tapped or untapped, whether it has any counters on it or any Auras or Equipment attached to it, or any non-copy effects that have changed its types, color, power and toughness, and so on.",[],False
162,8f4249d6-60cb-59a5-88f6-69f90633a757,2015,PONE,False,False,,Mirran Safehouse,"As long as this artifact is on the battlefield, it has all activated abilities of all land cards in all graveyards.",Artifact,"Mirran Safehouse gains only activated abilities, including activated mana abilites. It doesn't gain keyword abilities (unless those keyword abilities are activated), triggered abilities, or static abilities.Activated abilities contain a colon. They're generally written ""[Cost]: [Effect]."" Some keywords are activated abilities; they have colons in their reminder text.If an activated ability of a land card in a graveyard references the card it's printed on by name, treat Mirran Safehouse's version of that ability as though it referenced Mirran Safehouse by name instead.Cards with basic land types intrinsically have the appropriate mana ability, even if it isn't printed in the card's text box. Mirran Safehouse also gains those abilities. For example, if there is a Plains in your graveyard, Mirran Safehouse has ""{T}: Add {W},"" even though that may not be printed on the Plains itself.",[],False
163,2a04f7fd-c320-5153-b3f6-93f93034b923,2015,PIP,False,False,Investigate,"Piper Wright, Publick Reporter","Whenever Piper Wright deals combat damage to a player, investigate that many times. (To investigate, create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
Whenever you sacrifice a Clue, put a +1/+1 counter on target creature you control.",Legendary Creature — Human Detective,"If an effect refers to a Clue, it means any Clue artifact, not just a Clue artifact token. For example, if you sacrifice a nontoken Clue artifact, such as Candy Trail from the Wilds of Eldraine set, Piper Wright's last ability will trigger.Piper Wright's last ability triggers whenever you sacrifice a Clue for any reason, not just to activate a Clue's activated ability.",[],False
175,cd652568-6481-527f-b7ad-c51238b6f90a,2015,WHO,False,False,Mill,The Cyber-Controller,"When The Cyber-Controller enters, each opponent mills X cards. Put all creature cards milled this way onto the battlefield face down under your control. They're 2/2 Cyberman artifact creatures.
Other artifact creatures you control get +1/+1.",Legendary Artifact Creature — Cyberman,"Double-faced permanents that are already on the battlefield can't be turned face down this way. However, a double-faced card can be put onto the battlefield face down from another zone this way.If, for any reason, the face-down creature is turned face up, the effect making it a Cyberman ends. It will be whatever is printed on the card.The player who controls a face-down permanent may look at it at any time. Notably, if the cards were put on the battlefield face down from another player's library, the player that owns them does not get to look at those cards.If the face-down card has a morph ability, its controller may turn it face up by paying the associated morph cost.Each creature turned face down this way or put onto the battlefield this way is a 2/2 Cyberman artifact creature with no name and no color.",[],False
188,328474d6-a636-5809-b1a9-b50d89795a7d,2015,LCI,False,False,Flying,"Vito, Fanatic of Aclazotz","Flying
Whenever you sacrifice another permanent, you gain 2 life if this is the first time this ability has resolved this turn. If it's the second time, each opponent loses 2 life. If it's the third time, create a 4/3 white and black Vampire Demon creature token with flying.",Legendary Creature — Vampire Demon,"Vito's triggered ability has no effect each time beyond the third it resolves in a turn.If you sacrifice Vito at the same time you sacrifice other permanents, Vito's ability will trigger for each of those other permanents.",[],False
192,6dca74fb-3abd-515e-8c6b-885745d1f403,2015,PIP,False,False,,Black Market,"Whenever a creature dies, put a charge counter on this enchantment.
At the beginning of your first main phase, add {B} for each charge counter on this enchantment.",Enchantment,Getting the mana is not optional.,[],False
210,d9c396f8-c423-54d6-87d8-cff54b358593,2015,LCI,False,False,Flash,Tishana's Tidebinder,"Flash
When this creature enters, counter up to one target activated or triggered ability. If an ability of an artifact, creature, or planeswalker is countered this way, that permanent loses all abilities for as long as this creature remains on the battlefield. (Mana abilities can't be targeted.)",Creature — Merfolk Wizard,"If the affected permanent gains an ability after Tishana's Tidebinder's effect begins to apply to it, it will keep that ability.Tishana's Tidebinder's triggered ability checks to see if the source of the ability is an artifact, creature, or planeswalker as it resolves. If it isn't, it won't lose all abilities, even if it was an artifact, creature, or planeswalker when the ability was activated or when it triggered.If Tishana's Tidebinder leaves the battlefield before its triggered ability resolves, the target activated or triggered ability will still be countered, but the source of the ability won't lose its abilities at all.",[],False
239,8d6f011b-0bd6-599e-a9dc-07a16dc43efd,2015,MOM,False,False,"Flying, Transform",Invasion of Ulgrotha // Grandmother Ravi Sengir,"Flying
Whenever a creature an opponent controls dies, put a +1/+1 counter on Grandmother Ravi Sengir and you gain 1 life.",Legendary Creature — Human Wizard,"Damage dealt to a battle causes that many defense counters to be removed from it.As a Siege enters the battlefield, its controller chooses an opponent to be its protector.A Siege’s controller can’t be its protector. If a Siege’s protector ever gains control of it, they choose a new player to be its protector. This is a state-based action.A battle can be attacked by all players other than its protector. Notably, this means a Siege’s controller can attack it.If a non-battle permanent that is already on the battlefield become a copy of a Siege, its controller chooses one of their opponents to be that battle’s protector. However, it will most likely be put into its owner’s graveyard because it has no defense counters (see below).If a token or a card that isn’t represented by a transforming double-faced card becomes a copy of a Siege, it can’t be cast as its triggered ability resolves. It will remain in exile. If it’s a token, it will cease to exist the next time state-based actions are performed.Sieges each have an intrinsic triggered ability. That ability is “When the last defense counter is removed from this permanent, exile it, then you may cast it transformed without paying its mana cost.”In a multiplayer game, if the protector of a battle leaves the game and that battle is not currently being attacked, its controller chooses a new protector for it as a state-based action. If it is being attacked, its controller chooses a new protector for it once no creatures are attacking it. This means that it continues to be attacked and can be dealt combat damage as normal.A battle’s “defense” is displayed in the bottom right corner of the card. A battle enters the battlefield with that number of defense counters. If another permanent enters the battlefield as a copy of a battle, it also enters with that number of defense counters.A battle can be dealt damage and be target of spells and/or abilities that target “any target.”If a permanent that is represented by a transforming double-faced card becomes a copy of a Siege, it will be exiled as that Siege’s triggered ability resolves, then it will be cast transformed. Note that this applies only to transforming double-faced cards, not to modal double-faced cards that can normally be played using either face.Only creatures controlled by a battle’s protector can block creatures that are attacking that battle. This means a Siege’s controller can never assign creatures to block for it.If creatures controlled by opponents die at the same time as Grandmother Ravi Sengir, the last ability of Grandmother Ravi Sengir will trigger once for each of those creatures. You won’t put +1/+1 counters on it, but you will gain some life. So that’s nice, dear.If a battle has no defense counters, and it isn’t the source of a triggered ability that has triggered but not yet left the stack, that battle is put into its owner’s graveyard. This is a state-based action. This doesn’t cause a Siege’s intrinsic triggered ability to trigger.If a Siege never had defense counters on it (perhaps because a permanent became a copy of one), it can’t have its last defense counter removed. It will be put into its owner’s graveyard. You won’t exile it or cast the other face.If a battle that’s being attacked somehow stops being a battle, it is removed from combat. Similarly, if its controller changes in the middle of combat, it is removed from combat.Battles can’t attack or block, even if one also becomes a creature. If an attacking or blocking creature somehow becomes a battle in addition to being a creature, it is removed from combat.",[],False
240,3ef2db44-ca7e-5ed9-80d5-a57052c080ef,2015,PMKM,False,False,"Flying, Investigate, Vigilance","Kellan, Inquisitive Prodigy // Tail the Suspect","Flying, vigilance
Whenever Kellan attacks, destroy up to one target artifact. If you controlled that permanent, draw a card.",Legendary Creature — Human Faerie Detective,"If the artifact you target with Kellan, Inquisitive Prodigy's triggered ability isn't destroyed (perhaps because it's indestructible), you will still draw a card as long as you control the artifact.The effect of Tail the Suspect that allows you to play an additional land is cumulative with similar effects. For example, on a turn where you cast two Tail the Suspects, you'll be able to play three lands.",[],False
255,270813ea-5a00-59e1-9245-fcb50af1b357,2015,LTR,False,False,Scry,"Aragorn, the Uniter","Whenever you cast a white spell, create a 1/1 white Human Soldier creature token.
Whenever you cast a blue spell, scry 2.
Whenever you cast a red spell, Aragorn deals 3 damage to target opponent.
Whenever you cast a green spell, target creature gets +4/+4 until end of turn.",Legendary Creature — Human Noble,"If you cast a spell that's multiple colors, more than one of Aragorn, the Uniter's abilities may trigger. In that case, you choose the order in which the abilities are put onto the stack.",[],False
258,28535d0c-b020-5eb4-a1ce-b41774c99988,1997,RVR,False,False,,"Krenko, Mob Boss","{T}: Create X 1/1 red Goblin creature tokens, where X is the number of Goblins you control.",Legendary Creature — Goblin Warrior,"The ability counts each Goblin you control, including Krenko itself, not just the tokens it creates.",[],False
267,1501e893-11f3-5d4f-909f-db8b5be15b7b,2015,LCC,False,False,"Lifelink, Coven",Redemption Choir,"Lifelink
Coven — Whenever this creature enters or attacks, if you control three or more creatures with different powers, return target permanent card with mana value 3 or less from your graveyard to the battlefield.",Creature — Vampire Cleric,"You must control three or more creatures with different powers at the time the coven ability triggers and at the time the ability tries to resolve. They do not, however, need to be the same set of creatures in both cases.For three creatures to have different powers from one another, each of their powers needs to be different. A 1/1 creature, a 2/1 creature, and another 2/1 creature aren't three creatures with different powers, even though both 2/1 creatures have different power than the 1/1 creature.",[],False
270,11267949-fabc-54ba-87cd-9e93aa8a524e,2015,PMKM,False,False,"Collect evidence, Crew",Kylox's Voltstrider,"Collect evidence 6: This Vehicle becomes an artifact creature until end of turn.
Whenever this Vehicle attacks, you may cast an instant or sorcery spell from among cards exiled with it. If that spell would be put into a graveyard, put it on the bottom of its owner's library instead.
Crew 2",Artifact — Vehicle,"Once you've announced that you're casting a spell, players can't take actions until you've finished doing so. Notably, opponents can't try to remove cards from your graveyard to stop you from collecting evidence.If you can't exile enough cards to meet or exceed the required mana value, you can't choose to collect evidence at all.You choose whether or not to cast a spell from among the exiled cards as Kylox's Voltstrider's triggered ability resolves. If you do, you do so as part of the resolution of that ability. You can't wait to cast it later in the turn. Timing restrictions based on the card's type are ignored.",[],False
276,f7a8a822-1c90-567f-9c76-c11e64bd25b6,2015,PIP,False,False,,Assemble the Legion,"At the beginning of your upkeep, put a muster counter on this enchantment. Then create a 1/1 red and white Soldier creature token with haste for each muster counter on this enchantment.",Enchantment,"If Assemble the Legion isn't on the battlefield when its ability resolves, use the number of muster counters it had when it was last on the battlefield to determine how many Soldier tokens to create.",[],False
279,83d5d774-c5e4-5f83-87e5-2fbdcb0f647c,2015,CMM,False,False,,Avatar of Slaughter,All creatures have double strike and attack each combat if able.,Creature — Avatar,"If, during a player's declare attackers step, a creature is tapped, is affected by a spell or ability that says it can't attack, or hasn't been under that player's control continuously since the turn began (and doesn't have haste), then it doesn't attack. If there's a cost associated with having a creature attack, the player isn't forced to pay that cost, so it doesn't have to attack in that case either.",[],False
281,4ee64dc2-7c46-5ccc-8cbe-8a2f35d250b8,2015,CMM,False,False,,Cryptic Serpent,This spell costs {1} less to cast for each instant and sorcery card in your graveyard.,Creature — Serpent,"A split card only counts once for Cryptic Serpent's ability, even if it's both an instant and a sorcery.Cryptic Serpent's ability doesn't change its mana cost or mana value. It just reduces the cost to cast the spell.Cryptic Serpent's ability can't reduce its cost to less than {U}{U}.",[],False
284,4b6aaf49-bb7f-5983-b03d-d6c9478b302a,2015,MOC,False,False,,Fortified Village,"As this land enters, you may reveal a Forest or Plains card from your hand. If you don't, this land enters tapped.
{T}: Add {G} or {W}.",Land,"You may reveal any land card with either or both of the appropriate subtypes. It doesn't have to be a basic land. For example, you could reveal Prairie Stream from the Battle for Zendikar set to satisfy the ability of Fortified Village.Lands don't have a subtype just because they can produce mana of the corresponding color. Fortified Village itself is neither a Forest nor a Plains, even though it produces green and white mana, so you can't reveal one to satisfy the ability of another.If a Forest or Plains is entering the battlefield from your hand at the same time as Fortified Village, you may reveal the other land to have Fortified Village enter untapped.If an effect instructs you to put Fortified Village onto the battlefield tapped, it will still enter the battlefield tapped even if you reveal a land card from your hand.",[],False
286,137d6f46-4603-542d-928c-1fe56dd47e4a,2015,CMM,False,False,,Regal Sliver,"Sliver creatures you control have ""When this creature enters, Slivers you control get +1/+1 until end of turn if you're the monarch. Otherwise, you become the monarch.""",Creature — Sliver,"The game starts with no monarch. Once an effect makes one player the monarch, the game will have exactly one monarch from that point forward. As a player becomes the monarch, the current monarch (if any) ceases being the monarch.If combat damage dealt to the monarch causes that player to lose the game, the triggered ability that causes the controller of the attacking creature to become the monarch doesn't resolve. In most cases, the controller of the attacking creature will still become the monarch as it is likely their turn.There are two inherent triggered abilities associated with being the monarch. These triggered abilities have no source and are controlled by the player who was the monarch at the time the abilities triggered. The full texts of these abilities are ""At the beginning of the monarch's end step, that player draws a card"" and ""Whenever a creature deals combat damage to the monarch, its controller becomes the monarch.""If the monarch leaves the game during another player's turn, that player becomes the monarch. If the monarch leaves the game during their turn, the next player in turn order becomes the monarch.If the triggered ability that causes the monarch to draw a card goes on the stack and a different player becomes the monarch before that ability resolves, the first player will still draw the card.",[],False
288,2c7f7f8b-71a9-58c7-8467-c9f2fea1d3dd,2015,LTC,False,False,Equip,Sword of Hearth and Home,"Equipped creature gets +2/+2 and has protection from green and from white.
Whenever equipped creature deals combat damage to a player, exile up to one target creature you own, then search your library for a basic land card. Put both cards onto the battlefield under your control, then shuffle.
Equip {2}",Artifact — Equipment,"As Sword of Hearth and Home's second ability resolves, the land and the creature will enter the battlefield at the same time.If you choose a target creature you own and that creature isn't a legal target as the triggered ability tries to resolve, that ability won't resolve and none of its effects will happen. You won't search for a basic land card.If the creature you own is a token, it won't return to the battlefield. It will stay in exile and cease to exist after the ability finishes resolving.",[],False
290,06c92d7b-6f3f-54b0-b040-e80fa4ae32cc,2015,WOC,False,False,,Sanctum Weaver,"{T}: Add X mana of any one color, where X is the number of enchantments you control.",Enchantment Creature — Dryad,Sanctum Weaver's ability is a mana ability and does not use the stack. This means that no player can respond to the ability by taking an action that would reduce the number of enchantments you have.,[],False
302,c4fb61b0-561a-5cbd-8cae-4bffc4978f35,2015,MUL,False,False,Cascade,"Imoti, Celebrant of Bounty","Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)
Spells you cast with mana value 6 or greater have cascade.",Legendary Creature — Snake Druid,"Once you announce that you're casting a spell, players can't take actions until you've finished casting it. Causing Imoti, Celebrant of Bounty to leave the battlefield after a spell with mana value 6 or greater has been cast won't stop that spell's cascade ability from resolving.In some unusual situations, you may lose control of Imoti during the process of casting a spell with mana value 6 or greater. In those situations, that spell won't have cascade.",[],False
310,c4741075-b6e7-5c95-9aee-afcedf95ee9e,2015,CMM,False,False,Multikicker,Everflowing Chalice,"Multikicker {2} (You may pay an additional {2} any number of times as you cast this spell.)
This artifact enters with a charge counter on it for each time it was kicked.
{T}: Add {C} for each charge counter on this artifact.",Artifact,"You can cast Everflowing Chalice without kicking it at all if you wish. However, if Everflowing Chalice has no charge counters on it, activating its last ability won't produce any mana.",[],False
330,6698a4c5-cc13-5721-9050-099d923869be,2015,ONC,False,False,"Flying, Infect",Plague Stinger,"Flying
Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)",Creature — Phyrexian Insect Horror,"Damage from a source with infect affects planeswalkers normally.If damage from a source with infect that would be dealt to a player is prevented, that player doesn't get poison counters. If damage from a source with infect that would be dealt to a creature is prevented, that creature doesn't get -1/-1 counters.Infect's effect applies to any damage, not just combat damage.",[],False
332,25f5e426-958e-553f-9cff-d72cac2b42f8,2015,PWOE,False,False,Scry,Restless Spire,"This land enters tapped.
{T}: Add {U} or {R}.
{U}{R}: Until end of turn, this land becomes a 2/1 blue and red Elemental creature with ""During your turn, this creature has first strike."" It's still a land.
Whenever this land attacks, scry 1.",Land,"If this becomes a creature but you haven't controlled it continuously since your most recent turn began, you won't be able to activate its mana ability or attack with it that turn.If this becomes a creature because of an effect other than its own ability, its last ability will still trigger whenever it attacks.",[],False
